City/Town,Ward,Pct,"Al Gore","George Bush","Ralph Nader","Pat Buchanan","Denny Lane","Harry Browne","John Hagelin","David McReynolds","Howard Phillips","James Harris",Write-Ins,Blanks,Spoiled,"Total Votes Cast"
,,,Democratic,Republican,Progressive/Green,"Vermont Localist","Vermont Grassroots",Libertarian,"Natural Law","Liberty Union",Constitution,"Socialist Workers"
Westmore,,,110,112,15,1,2,0,0,0,0,0,0,0,0,240
Weston,,,183,146,35,0,0,0,1,1,0,0,1,0,0,367
Weybridge,,,284,190,36,3,1,0,0,0,0,0,2,0,0,516
Wheelock,,,111,155,20,3,2,1,0,0,0,0,0,0,0,292
Whiting,,,112,74,7,3,4,0,0,0,0,0,0,0,0,200
Whitingham,,,249,318,45,2,3,0,0,0,0,0,0,0,0,617
Williamstown,,,641,796,53,32,9,3,1,1,2,1,1,0,0,"1,540"
Williston,-,"Chittenden 5-1",430,345,45,5,1,0,0,0,0,0,1,0,0,827
Williston,-,"Chittenden 5-2","1,843","1,494",176,20,4,0,2,1,3,0,4,0,0,"3,547"
Wilmington,,,536,508,106,1,5,2,1,0,0,1,1,0,0,"1,161"
Windham,,,86,84,25,1,2,0,0,0,0,0,1,0,0,199
Windsor,,,928,616,80,10,5,4,3,0,1,0,4,0,0,"1,651"
Winhall,,,212,186,35,2,0,0,0,0,0,0,0,0,0,435
Winooski,-,Armory,612,347,57,10,6,3,0,0,0,1,0,0,0,"1,036"
Winooski,-,"St. Francis",908,459,92,19,4,5,3,0,1,1,2,0,0,"1,494"
Wolcott,,,302,270,54,4,4,2,0,1,0,2,2,0,0,641
Woodbury,,,213,197,54,2,1,2,0,0,0,1,1,0,0,471
Woodford,,,92,66,14,0,1,0,0,0,0,0,0,0,0,173
Woodstock,,,996,770,115,3,5,7,0,0,0,0,1,0,0,"1,897"
Worcester,,,264,181,79,6,3,1,0,0,0,0,1,0,0,535
TOTALS,,,"149,022","119,775","20,374","2,192","1,044",784,219,161,153,70,514,0,0,"294,308"
