City/Town,Ward,Pct,"Mark Donka","Donald Russell","Donald W. Nolte",Write-Ins,Blanks,"Total Votes Cast"
Wheelock,,,6,2,13,2,6,29
Whiting,,,5,5,4,0,1,15
Whitingham,-,"Windham 6",5,6,2,1,2,16
Whitingham,-,Windham-Bennington,0,0,0,0,0,0
Williamstown,,,17,16,13,7,21,74
Williston,,,35,85,19,4,40,183
Wilmington,,,8,13,4,0,6,31
Windham,,,1,0,0,0,0,1
Windsor,,,31,0,1,0,4,36
Winhall,,,5,6,3,3,3,20
Winooski,,,10,37,5,1,11,64
Wolcott,,,8,4,16,0,8,36
Woodbury,,,10,9,10,2,9,40
Woodford,,,0,1,1,0,0,2
Woodstock,,,51,11,2,1,11,76
Worcester,,,8,5,6,0,8,27
TOTALS,,,"4,340","4,026","3,803",719,"4,125","17,013"
