City/Town,Ward,Pct,"No Nomination",Write-Ins,Blanks,"Total Votes Cast"
Tunbridge,,,-,6,42,48
Underhill,,,-,0,100,100
Vergennes,,,-,3,62,65
Vernon,,,-,4,48,52
Vershire,,,-,1,9,10
Victory,,,-,4,12,16
Waitsfield,,,-,1,69,70
Walden,,,-,2,20,22
Wallingford,,,-,0,34,34
Waltham,,,-,0,14,14
Wardsboro,,,-,0,6,6
Warren,,,-,1,28,29
Washington,,,-,2,57,59
Waterbury,,,-,6,71,77
Waterford,,,-,8,132,140
Waterville,,,-,1,8,9
Weathersfield,,,-,5,246,251
Wells,,,-,0,69,69
"W. Fairlee",,,-,2,11,13
"W. Haven",,,-,6,38,44
"W. Rutland",,,-,3,50,53
"W. Windsor",,,-,5,30,35
Westfield,,,-,1,25,26
Westford,,,-,0,54,54
Westminster,-,"Windham 3",-,0,3,3
Westminster,-,"Windham 4",-,4,63,67
Westmore,,,-,0,31,31
Weston,,,-,3,16,19
Weybridge,,,-,1,31,32
Wheelock,,,-,3,26,29
Whiting,,,-,1,14,15
Whitingham,-,"Windham 6",-,1,15,16
Whitingham,-,Windham-Bennington,-,0,0,0
Williamstown,,,-,10,64,74
Williston,,,-,8,175,183
Wilmington,,,-,1,29,30
Windham,,,-,0,1,1
Windsor,,,-,3,32,35
Winhall,,,-,3,17,20
Winooski,,,-,3,61,64
Wolcott,,,-,4,32,36
Woodbury,,,-,2,38,40
Woodford,,,-,0,2,2
Woodstock,,,-,4,72,76
Worcester,,,-,2,25,27
TOTALS,,,-,"1,256","15,731","16,987"
