"county","town","precinct","office","district","party","candidate","votes"
"Lamoille","Elmore","Elmore","Auditor General","",,"Thomas M Salmon",202
"Franklin","Enosburgh","Enosburgh","Auditor General","",,"Thomas M Salmon",362
"Chittenden","Essex","Chittenden 6-1","Auditor General","",,"Thomas M Salmon",1234
"Chittenden","Essex","Chittenden 6-2","Auditor General","",,"Thomas M Salmon",1439
"Chittenden","Essex","Chittenden 6-3","Auditor General","",,"Thomas M Salmon",435
"Rutland","Fair Haven","Fair Haven","Auditor General","",,"Thomas M Salmon",430
"Franklin","Fairfax","Fairfax","Auditor General","",,"Thomas M Salmon",567
"Franklin","Fairfield","Fairfield","Auditor General","",,"Thomas M Salmon",343
"Orange","Fairlee","Fairlee","Auditor General","",,"Thomas M Salmon",204
"Washington","Fayston","Fayston","Auditor General","",,"Thomas M Salmon",262
"Addison","Ferrisburgh","Ferrisburgh","Auditor General","",,"Thomas M Salmon",457
"Franklin","Fletcher","Fletcher","Auditor General","",,"Thomas M Salmon",175
"Franklin","Franklin","Franklin","Auditor General","",,"Thomas M Salmon",149
"Franklin","Georgia","Georgia","Auditor General","",,"Thomas M Salmon",565
"Orleans","Glover","Glover","Auditor General","",,"Thomas M Salmon",169
