"","Year","Office","Election Type","District","City/Town","Precinct","Candidate","Party","Votes"
"55148","2008","Auditor","General","","Lyndon","","Thomas M. Salmon","Democratic/Republican","1,921"
"55149","2008","Auditor","General","","Maidstone","","Thomas M. Salmon","Democratic/Republican","80"
"55150","2008","Auditor","General","","Manchester","","Thomas M. Salmon","Democratic/Republican","1,835"
"55151","2008","Auditor","General","","Marlboro","","Thomas M. Salmon","Democratic/Republican","358"
"55152","2008","Auditor","General","","Marshfield","","Thomas M. Salmon","Democratic/Republican","668"
"55153","2008","Auditor","General","","Mendon","","Thomas M. Salmon","Democratic/Republican","562"
"55154","2008","Auditor","General","","Middlebury","","Thomas M. Salmon","Democratic/Republican","2,625"
"55155","2008","Auditor","General","","Middlesex","","Thomas M. Salmon","Democratic/Republican","797"
"55156","2008","Auditor","General","","Middletown Springs","","Thomas M. Salmon","Democratic/Republican","354"
"55157","2008","Auditor","General","","Milton","Chittenden 9","Thomas M. Salmon","Democratic/Republican","3,336"
"55158","2008","Auditor","General","","Milton","Grand Isle-Chittenden 1-1","Thomas M. Salmon","Democratic/Republican","532"
"55159","2008","Auditor","General","","Monkton","","Thomas M. Salmon","Democratic/Republican","883"
"55160","2008","Auditor","General","","Montgomery","","Thomas M. Salmon","Democratic/Republican","440"
"55161","2008","Auditor","General","","Montpelier","","Thomas M. Salmon","Democratic/Republican","3,466"
"55162","2008","Auditor","General","","Moretown","","Thomas M. Salmon","Democratic/Republican","820"
"55163","2008","Auditor","General","","Morgan","","Thomas M. Salmon","Democratic/Republican","311"
"55164","2008","Auditor","General","","Morristown","","Thomas M. Salmon","Democratic/Republican","2,047"
"55165","2008","Auditor","General","","Mount Holly","","Thomas M. Salmon","Democratic/Republican","587"
"55166","2008","Auditor","General","","Mount Tabor","","Thomas M. Salmon","Democratic/Republican","79"
"55167","2008","Auditor","General","","New Haven","","Thomas M. Salmon","Democratic/Republican","817"
"55168","2008","Auditor","General","","Newark","","Thomas M. Salmon","Democratic/Republican","214"
"55169","2008","Auditor","General","","Newbury","","Thomas M. Salmon","Democratic/Republican","879"
"55170","2008","Auditor","General","","Newfane","","Thomas M. Salmon","Democratic/Republican","723"
"55171","2008","Auditor","General","","Newport City","","Thomas M. Salmon","Democratic/Republican","1,439"
"55172","2008","Auditor","General","","Newport Town","","Thomas M. Salmon","Democratic/Republican","597"
"55173","2008","Auditor","General","","N. Hero","","Thomas M. Salmon","Democratic/Republican","475"
"55174","2008","Auditor","General","","Northfield","","Thomas M. Salmon","Democratic/Republican","1,900"
