"county","town","precinct","office","district","party","candidate","votes"
"Windham","Grafton","Grafton","Auditor General","","Republican","Randy Brock",143
"Essex","Granby","Granby","Auditor General","","Republican","Randy Brock",39
"Grand Isle","Grand Isle","Grand Isle","Auditor General","","Republican","Randy Brock",628
"Addison","Granville","Granville","Auditor General","","Republican","Randy Brock",55
"Orleans","Greensboro","Greensboro","Auditor General","","Republican","Randy Brock",214
"Caledonia","Groton","Groton","Auditor General","","Republican","Randy Brock",290
"Essex","Guildhall","Guildhall","Auditor General","","Republican","Randy Brock",75
"Windham","Guilford","Guilford","Auditor General","","Republican","Randy Brock",375
"Windham","Halifax","Halifax","Auditor General","","Republican","Randy Brock",143
"Addison","Hancock","Hancock","Auditor General","","Republican","Randy Brock",77
"Caledonia","Hardwick","Hardwick","Auditor General","","Republican","Randy Brock",762
"Windsor","Hartford","Windsor 6-1","Auditor General","","Republican","Randy Brock",643
"Windsor","Hartford","Windsor 6-2","Auditor General","","Republican","Randy Brock",1622
"Windsor","Hartland","Hartland","Auditor General","","Republican","Randy Brock",828
"Franklin","Highgate","Highgate","Auditor General","","Republican","Randy Brock",851
"Chittenden","Hinesburg","Chittenden 1-1","Auditor General","","Republican","Randy Brock",1051
"Chittenden","Hinesburg","Chittenden 1-2","Auditor General","","Republican","Randy Brock",46
"Orleans","Holland","Holland","Auditor General","","Republican","Randy Brock",152
"Rutland","Hubbardton","Hubbardton","Auditor General","","Republican","Randy Brock",180
"Chittenden","Huntington","Huntington","Auditor General","","Republican","Randy Brock",436
"Lamoille","Hyde Park","Hyde Park","Auditor General","","Republican","Randy Brock",760
"Rutland","Ira","Rutland Rutland 1-1","Auditor General","","Republican","Randy Brock",26
"Rutland","Ira","Rutland Rutland 1-2","Auditor General","","Republican","Randy Brock",99
"Orleans","Irasburg","Irasburg","Auditor General","","Republican","Randy Brock",328
"Grand Isle","Isle La Motte","Isle La Motte","Auditor General","","Republican","Randy Brock",175
"Windham","Jamaica","Jamaica","Auditor General","","Republican","Randy Brock",176
"Orleans","Jay","Jay","Auditor General","","Republican","Randy Brock",93
"Chittenden","Jericho","Jericho","Auditor General","","Republican","Randy Brock",1603
"Lamoille","Johnson","Johnson","Auditor General","","Republican","Randy Brock",603
"Rutland","Killington","Killington","Auditor General","","Republican","Randy Brock",359
"Caledonia","Kirby","Kirby","Auditor General","","Republican","Randy Brock",106
"Bennington","Landgrove","Landgrove","Auditor General","","Republican","Randy Brock",48
"Addison","Leicester","Leicester","Auditor General","","Republican","Randy Brock",314
"Essex","Lemington","Lemington","Auditor General","","Republican","Randy Brock",29
"Addison","Lincoln","Lincoln","Auditor General","","Republican","Randy Brock",321
"Windham","Londonderry","Londonderry","Auditor General","","Republican","Randy Brock",475
"Orleans","Lowell","Lowell","Auditor General","","Republican","Randy Brock",163
"Windsor","Ludlow","Ludlow","Auditor General","","Republican","Randy Brock",634
"Essex","Lunenburg","Lunenburg","Auditor General","","Republican","Randy Brock",322
"Caledonia","Lyndon","Lyndon","Auditor General","","Republican","Randy Brock",1260
