City/Town,Ward,Pct,"Jason Gibbs","Chris Roy",Write-Ins,Blanks,"Total Votes Cast"
Coventry,,,25,17,0,6,48
Craftsbury,,,25,29,3,16,73
Danby,,,39,33,0,8,80
Danville,,,122,34,0,26,182
Derby,,,116,116,1,40,273
Dorset,,,64,32,0,8,104
Dover,,,23,26,2,3,54
Dummerston,,,29,26,0,12,67
Duxbury,,,65,8,0,4,77
"E. Haven",,,28,21,0,15,64
"E. Montpelier",,,96,64,0,21,181
Eden,,,21,14,3,7,45
Elmore,,,26,7,0,12,45
Enosburgh,,,44,38,4,29,115
Essex,-,"Chittenden 6-1",159,182,2,40,383
Essex,-,"Chittenden 6-2",173,202,1,56,432
Essex,-,"Chittenden 6-3",52,52,0,13,117
"Fair Haven",,,77,55,2,21,155
Fairfax,,,81,61,2,20,164
Fairfield,,,51,34,6,32,123
Fairlee,,,15,13,0,7,35
Fayston,,,42,11,0,6,59
Ferrisburgh,,,84,36,0,16,136
Fletcher,,,32,14,0,10,56
Franklin,,,43,28,3,23,97
Georgia,,,90,85,1,19,195
Glover,,,48,33,1,26,108
Goshen,,,20,6,0,1,27
Grafton,,,24,13,0,2,39
Granby,,,8,7,0,6,21
"Grand Isle",,,50,71,1,12,134
Granville,,,9,1,0,1,11
Greensboro,,,17,21,1,10,49
Groton,,,54,21,1,8,84
Guildhall,,,21,10,2,16,49
Guilford,,,25,14,0,8,47
Halifax,,,7,14,0,6,27
Hancock,,,12,5,0,0,17
Hardwick,,,41,49,0,15,105
Hartford,-,"Windsor 6-1",34,33,0,10,77
Hartford,-,"Windsor 6-2",82,79,1,31,193
Hartland,,,49,70,0,29,148
Highgate,,,78,43,1,22,144
Hinesburg,-,"Chittenden 1-1",56,80,0,22,158
Hinesburg,-,"Chittenden 1-2",3,3,0,0,6
Holland,,,15,15,0,4,34
Hubbardton,,,19,5,0,3,27
Huntington,,,31,25,0,15,71
"Hyde Park",,,86,47,1,33,167
Ira,-,"Rutland 1-1",2,3,0,1,6
Ira,-,"Rutland 1-2",23,7,0,8,38
Irasburg,,,39,17,2,8,66
